identifier,title,date,creator,venue,url
ajc01615_silent-treatment-2003-09-23,Silent Treatment Live at Fireside Bowl 2003-09-23,9/23/03,Silent Treatment,Fireside Bowl,https://archive.org/details/ajc01615_silent-treatment-2003-09-23
ajc01616_the-wiitala-brothers-2007-08-18,The Wiitala Brothers Live at Beat Kitchen 2007-08-18,8/18/07,The Wiitala Brothers,Beat Kitchen,https://archive.org/details/ajc01616_the-wiitala-brothers-2007-08-18
ajc01617_bluebirdsbrightlights2007-08-18,Blue Birds & Bright Lights Live at Beat Kitchen 2007-08-18,8/18/07,Blue Birds & Bright Lights,Beat Kitchen,https://archive.org/details/ajc01617_bluebirdsbrightlights2007-08-18
ajc01618_kevin-flynn-2009-10-31,Kevin Flynn & The Avondale Ramblers Live at Subterranean 2009-10-31,10/31/09,Kevin Flynn & The Avondale Ramblers,Subterranean,https://archive.org/details/ajc01618_kevin-flynn-2009-10-31
ajc01619_new-duncan-imperials-2009-10-31,New Duncan Imperials Live at Subterranean 2009-10-31,10/31/09,New Duncan Imperials,Subterranean,https://archive.org/details/ajc01619_new-duncan-imperials-2009-10-31
ajc0161_ericchial2015-04-26,Eric Chial Live at Eric Chial's House 2015-04-26,4/26/15,Eric Chial,Eric Chial's House 2015-04-26,https://archive.org/details/ajc0161_ericchial2015-04-26
ajc01620_tomsawyer2002-02-15,Tom Sawyer Live at Fireside Bowl 2002-02-15,2/15/02,Tom Sawyer,Fireside Bowl,https://archive.org/details/ajc01620_tomsawyer2002-02-15
ajc01621_off-yourself-2002-02-15,Off Yourself Live at Fireside Bowl 2002-02-15,2/15/02,Off Yourself,Fireside Bowl,https://archive.org/details/ajc01621_off-yourself-2002-02-15
ajc01622_davestrackany2004-09-27,David Strackany Live at Schubas Tavern 2004-09-27,9/27/04,David Strackany,Schubas Tavern,https://archive.org/details/ajc01622_davestrackany2004-09-27
ajc01623_andrewmorgan2004-09-27,Andrew Morgan Live at Schubas Tavern 2004-09-27,9/27/04,Andrew Morgan,Schubas Tavern 2004-09-27,https://archive.org/details/ajc01623_andrewmorgan2004-09-27
